kecamatan_subdistrict;name;nomor_komoditas;x2020;x2021;x2022;x2023;tabel
Hewokloang;palem_palm_pohon_tree;8;-;-;-;-;5.5
Hewokloang;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;-;5.5
Hewokloang;pisang_pisangan_heliconia_m2_m2;10;-;-;-;-;5.5
Hewokloang;puring_croton_m2_m2;11;NA;-;-;-;5.5
Hewokloang;soka_ixora_m2_m2;12;-;-;-;-;5.5
Hewokloang;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Hewokloang;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Hewokloang;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Hewokloang;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Hewokloang;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Hewokloang;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;-;-;5.6
Hewokloang;bugenvil_pohon_tree;7;NA;-;-;-;5.6
Hewokloang;palem_palm_pohon_tree;8;-;-;-;-;5.6
Hewokloang;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;-;-;5.6
Hewokloang;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;-;-;5.6
Hewokloang;puring_croton_pohon_tree;11;NA;-;-;-;5.6
Hewokloang;soka_ixora_pohon_tree;12;-;-;-;-;5.6
Hewokloang;sri_rejeki_aglaonema_pohon_tree;13;-;-;-;-;5.6
Hewokloang;mangga_mango_kw_qui;1;-;15;17;17;5.7
Hewokloang;durian_durian_kw_qui;2;1;5;5;43;5.7
Hewokloang;jeruk_siam_keprok_orange_tangerine_kw_qui;3;-;-;-;-;5.7
Hewokloang;pisang_banana_kw_qui;4;3;15;10;30;5.7
Hewokloang;pepaya_papaya_kw_qui;5;-;6;5;12;5.7
Hewokloang;salak_snakefruit_kw_qui;6;1;6;6;5;5.7
Hewokloang;alpukat_avocado_kw_qui;7;212;44;27;65;5.7
Hewokloang;jambu_biji_guava_kw_qui;8;-;-;-;-;5.7
Hewokloang;nangka_cempedak_jackfruit_kw_qui;9;10;20;12;24;5.7
Hewokloang;nenas_pineapple_kw_qui;10;-;0;0;0;5.7
Hewokloang;rambutan_rambutan_kw_qui;11;2;4;4;4;5.7
Hewokloang;salak_snakefruit_kw_qui;12;1;6;6;5;5.7
Hewokloang;sirsak_soursop_kw_qui;13;1;4;4;8;5.7
Kangae;bawang_merah_shallots_ha_ha;1;-;1;-;1;5.1
Kangae;cabai_besar_chili_big_chili_ha_ha;2;1;NA;NA;NA;5.1
Kangae;cabai_keriting_chili_curly_chili_ha_ha;3;NA;0;2;-;5.1
Kangae;cabai_rawit_chili_cayenne_pepper_ha_ha;4;-;-;3;2;5.1
Kangae;kentang_potato_ha_ha;5;-;-;-;-;5.1
Kangae;kubis_cabbage_ha_ha;6;-;-;-;-;5.1
Kangae;tomat_tomato_ha_ha;7;1;1;3;8;5.1
Kangae;bawang_putih_garlic_ha_ha;8;-;-;-;-;5.1
Kangae;bawang_merah_shallots_kw_qui;1;-;14;-;4;5.2
Kangae;cabai_besar_chili_big_chili_kw_qui;2;160;NA;NA;NA;5.2
Kangae;cabai_keriting_chili_curly_chili_kw_qui;3;NA;10;13;-;5.2
Kangae;cabai_rawit_chili_cayenne_pepper_kw_qui;4;-;-;20;10;5.2
Kangae;kentang_potato_kw_qui;5;-;-;-;-;5.2
Kangae;kubis_cabbage_kw_qui;6;-;-;-;-;5.2
Kangae;tomat_tomato_kw_qui;7;108;150;167;26;5.2
Kangae;bawang_putih_garlic_kw_qui;8;-;-;-;-;5.2
Kangae;jahe_ginger_m2_m2;1;450;600;-;-;5.3
Kangae;laos_lengkuas_galanga_m2_m2;2;900;450;-;-;5.3
Kangae;kencur_east_indian_galangal_m2_m2;3;-;-;-;-;5.3
Kangae;kunyit_turmeric_m2_m2;4;15.075;8.325;-;-;5.3
Kangae;jahe_ginger_kg_kg;1;675;600;-;-;5.4
Kangae;laos_lengkuas_galanga_kg_kg;2;520;1.575;-;-;5.4
Kangae;kencur_east_indian_galangal_kg_kg;3;-;-;-;-;5.4
Kangae;kunyit_turmeric_kg_kg;4;7.500;12.487;-;-;5.4
Kangae;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;-;-;5.5
Kangae;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
Kangae;krisan_chrysantemum_m2_m2;3;-;-;-;-;5.5
Kangae;mawar_rose_m2_m2;4;-;-;-;-;5.5
Kangae;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Kangae;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;-;-;5.5
Kangae;bugenvil_m2_m2;7;NA;-;-;-;5.5
Kangae;palem_palm_pohon_tree;8;-;-;-;-;5.5
Kangae;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;-;5.5
Kangae;pisang_pisangan_heliconia_m2_m2;10;-;-;-;-;5.5
Kangae;puring_croton_m2_m2;11;NA;-;-;-;5.5
Kangae;soka_ixora_m2_m2;12;-;-;-;-;5.5
Kangae;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Kangae;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Kangae;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Kangae;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Kangae;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Kangae;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;-;-;5.6
Kangae;bugenvil_pohon_tree;7;NA;-;-;-;5.6
Kangae;palem_palm_pohon_tree;8;-;-;-;-;5.6
Kangae;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;-;-;5.6
Kangae;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;-;-;5.6
Kangae;puring_croton_pohon_tree;11;NA;-;-;-;5.6
Kangae;soka_ixora_pohon_tree;12;-;-;-;-;5.6
Kangae;sri_rejeki_aglaonema_pohon_tree;13;-;-;-;-;5.6
Kangae;mangga_mango_kw_qui;1;3.530;441;670;482;5.7
Kangae;durian_durian_kw_qui;2;-;-;-;50;5.7
Kangae;jeruk_siam_keprok_orange_tangerine_kw_qui;3;-;50;47;33;5.7
Kangae;pisang_banana_kw_qui;4;3.400;22.300;1.383;1.732;5.7
Kangae;pepaya_papaya_kw_qui;5;4.028;6.144;604;734;5.7
Kangae;salak_snakefruit_kw_qui;6;-;-;8;91;5.7
Kangae;alpukat_avocado_kw_qui;7;1.158;1.160;227;251;5.7
Kangae;jambu_biji_guava_kw_qui;8;-;496;24;49;5.7
Kangae;nangka_cempedak_jackfruit_kw_qui;9;4.300;3.537;265;275;5.7
Kangae;nenas_pineapple_kw_qui;10;10.198;10.971;16.379;717;5.7
Kangae;rambutan_rambutan_kw_qui;11;-;-;-;62;5.7
Kangae;salak_snakefruit_kw_qui;12;-;-;8;91;5.7
Kangae;sirsak_soursop_kw_qui;13;-;-;72;78;5.7
Kewapante;bawang_merah_shallots_ha_ha;1;1;-;-;0;5.1
Kewapante;cabai_besar_chili_big_chili_ha_ha;2;2;NA;NA;NA;5.1
Kewapante;cabai_keriting_chili_curly_chili_ha_ha;3;NA;0;0;-;5.1
Kewapante;cabai_rawit_chili_cayenne_pepper_ha_ha;4;-;0;1;0;5.1
Kewapante;kentang_potato_ha_ha;5;-;-;-;-;5.1
Kewapante;kubis_cabbage_ha_ha;6;-;-;-;-;5.1
Kewapante;tomat_tomato_ha_ha;7;0;0;1;0;5.1
Kewapante;bawang_putih_garlic_ha_ha;8;-;-;-;-;5.1
Kewapante;bawang_merah_shallots_kw_qui;1;1;-;-;1;5.2
Kewapante;cabai_besar_chili_big_chili_kw_qui;2;110;NA;NA;NA;5.2
Kewapante;cabai_keriting_chili_curly_chili_kw_qui;3;NA;9;0;-;5.2
Kewapante;cabai_rawit_chili_cayenne_pepper_kw_qui;4;-;3;12;5;5.2
Kewapante;kentang_potato_kw_qui;5;-;-;-;-;5.2
Kewapante;kubis_cabbage_kw_qui;6;-;-;-;-;5.2
Kewapante;tomat_tomato_kw_qui;7;35;25;35;4;5.2
Kewapante;bawang_putih_garlic_kw_qui;8;-;-;-;-;5.2
Kewapante;jahe_ginger_m2_m2;1;-;-;-;-;5.3
Kewapante;laos_lengkuas_galanga_m2_m2;2;-;-;-;-;5.3
Kewapante;kencur_east_indian_galangal_m2_m2;3;-;-;-;-;5.3
Kewapante;kunyit_turmeric_m2_m2;4;-;-;-;-;5.3
Kewapante;jahe_ginger_kg_kg;1;-;-;-;-;5.4
Kewapante;laos_lengkuas_galanga_kg_kg;2;-;-;-;-;5.4
Kewapante;kencur_east_indian_galangal_kg_kg;3;-;-;-;-;5.4
Kewapante;kunyit_turmeric_kg_kg;4;-;-;-;-;5.4
Kewapante;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;-;-;5.5
Kewapante;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
Kewapante;krisan_chrysantemum_m2_m2;3;-;-;-;-;5.5
Kewapante;mawar_rose_m2_m2;4;-;-;-;-;5.5
Kewapante;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Kewapante;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;-;-;5.5
Kewapante;bugenvil_m2_m2;7;NA;-;-;-;5.5
Kewapante;palem_palm_pohon_tree;8;-;-;-;-;5.5
Kewapante;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;-;5.5
Kewapante;pisang_pisangan_heliconia_m2_m2;10;-;-;-;-;5.5
Kewapante;puring_croton_m2_m2;11;NA;-;-;-;5.5
Kewapante;soka_ixora_m2_m2;12;-;-;-;-;5.5
Kewapante;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Kewapante;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Kewapante;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Kewapante;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Kewapante;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Kewapante;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;-;-;5.6
Kewapante;bugenvil_pohon_tree;7;NA;-;-;-;5.6
Kewapante;palem_palm_pohon_tree;8;-;-;-;-;5.6
Kewapante;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;-;-;5.6
Kewapante;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;-;-;5.6
Kewapante;puring_croton_pohon_tree;11;NA;-;-;-;5.6
Kewapante;soka_ixora_pohon_tree;12;-;-;-;-;5.6
Kewapante;sri_rejeki_aglaonema_pohon_tree;13;-;-;-;-;5.6
Kewapante;mangga_mango_kw_qui;1;5.200;697;340;531;5.7
Kewapante;durian_durian_kw_qui;2;87;-;-;-;5.7
Kewapante;jeruk_siam_keprok_orange_tangerine_kw_qui;3;-;-;-;-;5.7
Kewapante;pisang_banana_kw_qui;4;14.200;1.200;850;827;5.7
Kewapante;pepaya_papaya_kw_qui;5;4.065;2.300;1.650;863;5.7
Kewapante;salak_snakefruit_kw_qui;6;-;-;-;-;5.7
Kewapante;alpukat_avocado_kw_qui;7;1.550;45;-;30;5.7
Kewapante;jambu_biji_guava_kw_qui;8;270;-;-;-;5.7
Kewapante;nangka_cempedak_jackfruit_kw_qui;9;6.650;730;435;558;5.7
Kewapante;nenas_pineapple_kw_qui;10;7.342;-;-;174;5.7
Kewapante;rambutan_rambutan_kw_qui;11;54;-;-;-;5.7
Kewapante;salak_snakefruit_kw_qui;12;-;-;-;-;5.7
Kewapante;sirsak_soursop_kw_qui;13;436;-;-;-;5.7
Koting;bawang_merah_shallots_ha_ha;1;-;-;-;-;5.1
Koting;cabai_besar_chili_big_chili_ha_ha;2;2;NA;NA;NA;5.1
Koting;cabai_keriting_chili_curly_chili_ha_ha;3;NA;-;1;1;5.1
Koting;cabai_rawit_chili_cayenne_pepper_ha_ha;4;1;2;1;1;5.1
Koting;kentang_potato_ha_ha;5;-;-;-;-;5.1
Koting;kubis_cabbage_ha_ha;6;-;-;-;-;5.1
Koting;tomat_tomato_ha_ha;7;2;1;1;0;5.1
Koting;bawang_putih_garlic_ha_ha;8;-;-;-;-;5.1
Koting;bawang_merah_shallots_kw_qui;1;-;-;-;-;5.2
Koting;cabai_besar_chili_big_chili_kw_qui;2;258;NA;NA;NA;5.2
Koting;cabai_keriting_chili_curly_chili_kw_qui;3;NA;-;7;4;5.2
Koting;cabai_rawit_chili_cayenne_pepper_kw_qui;4;64;467;8;5;5.2
Koting;kentang_potato_kw_qui;5;-;-;-;-;5.2
Koting;kubis_cabbage_kw_qui;6;-;-;-;-;5.2
Koting;tomat_tomato_kw_qui;7;90;41;3;1;5.2
Koting;bawang_putih_garlic_kw_qui;8;-;-;-;-;5.2
Koting;jahe_ginger_m2_m2;1;15;8;12;9;5.3
Koting;laos_lengkuas_galanga_m2_m2;2;7;7;-;-;5.3
Koting;kencur_east_indian_galangal_m2_m2;3;4;2;1;-;5.3
Koting;kunyit_turmeric_m2_m2;4;7;13;9;4;5.3
Koting;jahe_ginger_kg_kg;1;261;54;39;37;5.4
Koting;laos_lengkuas_galanga_kg_kg;2;16;27;-;-;5.4
Koting;kencur_east_indian_galangal_kg_kg;3;4;4;3;-;5.4
Koting;kunyit_turmeric_kg_kg;4;10;62;33;9;5.4
Koting;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;-;-;5.5
Koting;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
Koting;krisan_chrysantemum_m2_m2;3;-;-;-;-;5.5
Koting;mawar_rose_m2_m2;4;-;-;-;-;5.5
Koting;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Koting;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;-;-;5.5
Koting;bugenvil_m2_m2;7;NA;-;-;1;5.5
Koting;palem_palm_pohon_tree;8;-;-;-;-;5.5
Koting;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;5;5.5
Koting;pisang_pisangan_heliconia_m2_m2;10;-;-;-;3;5.5
Koting;puring_croton_m2_m2;11;NA;-;-;-;5.5
Koting;soka_ixora_m2_m2;12;-;-;-;-;5.5
Koting;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Koting;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Koting;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Koting;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Koting;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Koting;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;-;-;5.6
Koting;bugenvil_pohon_tree;7;NA;-;-;1;5.6
Koting;palem_palm_pohon_tree;8;-;-;-;-;5.6
Koting;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;-;5;5.6
Koting;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;-;3;5.6
Koting;puring_croton_pohon_tree;11;NA;-;-;-;5.6
Koting;soka_ixora_pohon_tree;12;-;-;-;-;5.6
Koting;sri_rejeki_aglaonema_pohon_tree;13;-;-;-;-;5.6
Koting;mangga_mango_kw_qui;1;5.340;3.200;992;1.476;5.7
Koting;durian_durian_kw_qui;2;-;-;-;-;5.7
Koting;jeruk_siam_keprok_orange_tangerine_kw_qui;3;-;-;-;-;5.7
Koting;pisang_banana_kw_qui;4;8.600;3.800;1.736;1.178;5.7
Koting;pepaya_papaya_kw_qui;5;1.940;4.500;1.288;815;5.7
Koting;salak_snakefruit_kw_qui;6;2.700;866;843;763;5.7
Koting;alpukat_avocado_kw_qui;7;6.600;3.100;901;1.522;5.7
Koting;jambu_biji_guava_kw_qui;8;-;-;-;-;5.7
Koting;nangka_cempedak_jackfruit_kw_qui;9;1.025;729;144;295;5.7
Koting;nenas_pineapple_kw_qui;10;484;974;1.684;478;5.7
Koting;rambutan_rambutan_kw_qui;11;5;-;16;21;5.7
Koting;salak_snakefruit_kw_qui;12;2.700;866;843;763;5.7
Koting;sirsak_soursop_kw_qui;13;-;-;-;-;5.7
Lela;bawang_merah_shallots_ha_ha;1;-;-;-;-;5.1
Lela;cabai_besar_chili_big_chili_ha_ha;2;-;NA;NA;NA;5.1
Lela;cabai_keriting_chili_curly_chili_ha_ha;3;NA;0;0;1;5.1
Lela;cabai_rawit_chili_cayenne_pepper_ha_ha;4;2;2;3;4;5.1
Lela;kentang_potato_ha_ha;5;-;-;-;-;5.1
Lela;kubis_cabbage_ha_ha;6;-;-;-;-;5.1
Lela;tomat_tomato_ha_ha;7;2;5;5;5;5.1
Lela;bawang_putih_garlic_ha_ha;8;-;-;-;-;5.1
Lela;bawang_merah_shallots_kw_qui;1;-;-;-;-;5.2
Lela;cabai_besar_chili_big_chili_kw_qui;2;-;NA;NA;NA;5.2
Lela;cabai_keriting_chili_curly_chili_kw_qui;3;NA;6;2;13;5.2
Lela;cabai_rawit_chili_cayenne_pepper_kw_qui;4;233;141;145;67;5.2
Lela;kentang_potato_kw_qui;5;-;-;-;-;5.2
Lela;kubis_cabbage_kw_qui;6;-;-;-;-;5.2
Lela;tomat_tomato_kw_qui;7;371;563;825;410;5.2
Lela;bawang_putih_garlic_kw_qui;8;-;-;-;-;5.2
Lela;jahe_ginger_m2_m2;1;1.500;1.000;750;700;5.3
Lela;laos_lengkuas_galanga_m2_m2;2;180;750;500;500;5.3
Lela;kencur_east_indian_galangal_m2_m2;3;600;750;500;500;5.3
Lela;kunyit_turmeric_m2_m2;4;3.500;700;500;500;5.3
Lela;jahe_ginger_kg_kg;1;1.500;10.000;950;230;5.4
Lela;laos_lengkuas_galanga_kg_kg;2;648;1.000;750;335;5.4
Lela;kencur_east_indian_galangal_kg_kg;3;360;1.000;450;270;5.4
Lela;kunyit_turmeric_kg_kg;4;16.500;1.000;700;272;5.4
Lela;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;-;-;5.5
Lela;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
Lela;krisan_chrysantemum_m2_m2;3;-;-;-;-;5.5
Lela;mawar_rose_m2_m2;4;-;-;-;-;5.5
Lela;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Lela;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;-;-;5.5
Lela;bugenvil_m2_m2;7;NA;-;-;-;5.5
Lela;palem_palm_pohon_tree;8;-;-;-;-;5.5
Lela;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;-;5.5
Lela;pisang_pisangan_heliconia_m2_m2;10;-;-;-;-;5.5
Lela;puring_croton_m2_m2;11;NA;-;-;-;5.5
Lela;soka_ixora_m2_m2;12;-;-;-;-;5.5
Lela;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Lela;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Lela;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Lela;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Lela;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Lela;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;-;-;5.6
Lela;bugenvil_pohon_tree;7;NA;-;-;-;5.6
Lela;palem_palm_pohon_tree;8;-;-;-;-;5.6
Lela;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;-;-;5.6
Lela;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;-;-;5.6
Lela;puring_croton_pohon_tree;11;NA;-;-;-;5.6
Lela;soka_ixora_pohon_tree;12;-;-;-;-;5.6
Lela;sri_rejeki_aglaonema_pohon_tree;13;-;-;-;-;5.6
Lela;mangga_mango_kw_qui;1;2.250;14.200;3.333;1.449;5.7
Lela;durian_durian_kw_qui;2;294;37;823;20;5.7
Lela;jeruk_siam_keprok_orange_tangerine_kw_qui;3;7;72;322;13;5.7
Lela;pisang_banana_kw_qui;4;22.762;31.243;37.716;4.052;5.7
Lela;pepaya_papaya_kw_qui;5;3.604;894;5.544;331;5.7
Lela;salak_snakefruit_kw_qui;6;4.480;1.180;2.200;40;5.7
Lela;alpukat_avocado_kw_qui;7;3.300;960;7.025;254;5.7
Lela;jambu_biji_guava_kw_qui;8;1.000;486;3.522;95;5.7
Lela;nangka_cempedak_jackfruit_kw_qui;9;27;185;192;52;5.7
Lela;nenas_pineapple_kw_qui;10;108;220;190;108;5.7
Lela;rambutan_rambutan_kw_qui;11;150;220;190;103;5.7
Lela;salak_snakefruit_kw_qui;12;4.480;1.180;2.200;40;5.7
Lela;sirsak_soursop_kw_qui;13;200;145;21;8;5.7
Magepanda;bawang_merah_shallots_ha_ha;1;7;3;3;5;5.1
Magepanda;cabai_besar_chili_big_chili_ha_ha;2;10;NA;NA;NA;5.1
Magepanda;cabai_keriting_chili_curly_chili_ha_ha;3;NA;-;-;-;5.1
Magepanda;cabai_rawit_chili_cayenne_pepper_ha_ha;4;15;6;4;0;5.1
Magepanda;kentang_potato_ha_ha;5;-;-;-;-;5.1
Magepanda;kubis_cabbage_ha_ha;6;-;-;-;-;5.1
Magepanda;tomat_tomato_ha_ha;7;10;14;2;7;5.1
Magepanda;bawang_putih_garlic_ha_ha;8;-;-;-;-;5.1
Magepanda;bawang_merah_shallots_kw_qui;1;1.170;11;49;300;5.2
Magepanda;cabai_besar_chili_big_chili_kw_qui;2;113;NA;NA;NA;5.2
Magepanda;cabai_keriting_chili_curly_chili_kw_qui;3;NA;-;-;-;5.2
Magepanda;cabai_rawit_chili_cayenne_pepper_kw_qui;4;389;393;18;1;5.2
Magepanda;kentang_potato_kw_qui;5;-;-;-;-;5.2
Magepanda;kubis_cabbage_kw_qui;6;-;-;-;-;5.2
Magepanda;tomat_tomato_kw_qui;7;74;72;2;369;5.2
Magepanda;bawang_putih_garlic_kw_qui;8;-;-;-;-;5.2
Magepanda;jahe_ginger_m2_m2;1;3.840;2.790;2.540;1.347;5.3
Magepanda;laos_lengkuas_galanga_m2_m2;2;1.220;1.220;1.180;500;5.3
Magepanda;kencur_east_indian_galangal_m2_m2;3;1.350;1.350;800;1.000;5.3
Magepanda;kunyit_turmeric_m2_m2;4;1.750;850;500;1.200;5.3
Magepanda;jahe_ginger_kg_kg;1;2.722;4.072;5.861;725;5.4
Magepanda;laos_lengkuas_galanga_kg_kg;2;900;1.105;1.125;680;5.4
Magepanda;kencur_east_indian_galangal_kg_kg;3;700;2.600;885;940;5.4
Magepanda;kunyit_turmeric_kg_kg;4;1.802;1.265;496;1.216;5.4
Magepanda;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;-;-;5.5
Magepanda;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
Magepanda;krisan_chrysantemum_m2_m2;3;-;-;-;-;5.5
Magepanda;mawar_rose_m2_m2;4;-;-;-;-;5.5
Magepanda;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Magepanda;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;-;-;5.5
Magepanda;bugenvil_m2_m2;7;NA;-;-;-;5.5
Magepanda;palem_palm_pohon_tree;8;-;-;-;-;5.5
Magepanda;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;-;5.5
Magepanda;pisang_pisangan_heliconia_m2_m2;10;-;-;-;-;5.5
Magepanda;puring_croton_m2_m2;11;NA;-;-;-;5.5
Magepanda;soka_ixora_m2_m2;12;-;-;-;-;5.5
Magepanda;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Magepanda;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Magepanda;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Magepanda;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Magepanda;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Magepanda;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;-;-;5.6
Magepanda;bugenvil_pohon_tree;7;NA;-;-;-;5.6
Magepanda;palem_palm_pohon_tree;8;-;-;-;-;5.6
Magepanda;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;-;-;5.6
Magepanda;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;-;-;5.6
Magepanda;puring_croton_pohon_tree;11;NA;-;-;-;5.6
Magepanda;soka_ixora_pohon_tree;12;-;-;-;-;5.6
Magepanda;sri_rejeki_aglaonema_pohon_tree;13;-;-;-;-;5.6
Magepanda;mangga_mango_kw_qui;1;756;1.279;600;719;5.7
Magepanda;durian_durian_kw_qui;2;-;-;-;-;5.7
Magepanda;jeruk_siam_keprok_orange_tangerine_kw_qui;3;-;-;-;-;5.7
Magepanda;pisang_banana_kw_qui;4;253;437;611;717;5.7
Magepanda;pepaya_papaya_kw_qui;5;639;360;144;301;5.7
Magepanda;salak_snakefruit_kw_qui;6;-;-;-;-;5.7
Magepanda;alpukat_avocado_kw_qui;7;540;111;87;140;5.7
Magepanda;jambu_biji_guava_kw_qui;8;-;-;15;420;5.7
Magepanda;nangka_cempedak_jackfruit_kw_qui;9;326;190;74;243;5.7
Magepanda;nenas_pineapple_kw_qui;10;-;-;-;-;5.7
Magepanda;rambutan_rambutan_kw_qui;11;-;54;-;93;5.7
Magepanda;salak_snakefruit_kw_qui;12;-;-;-;-;5.7
Magepanda;sirsak_soursop_kw_qui;13;-;38;-;84;5.7
Mapitara;bawang_merah_shallots_ha_ha;1;-;3;-;-;5.1
