kecamatan_subdistrict;name;nomor_komoditas;x2020;x2021;x2022;x2023;tabel
Mapitara;cabai_besar_chili_big_chili_ha_ha;2;-;NA;NA;NA;5.1
Mapitara;cabai_keriting_chili_curly_chili_ha_ha;3;NA;-;-;1;5.1
Mapitara;cabai_rawit_chili_cayenne_pepper_ha_ha;4;5;6;1;-;5.1
Mapitara;kentang_potato_ha_ha;5;-;5;8;2;5.1
Mapitara;kubis_cabbage_ha_ha;6;-;-;-;-;5.1
Mapitara;tomat_tomato_ha_ha;7;1;1;1;1;5.1
Mapitara;bawang_putih_garlic_ha_ha;8;-;-;-;-;5.1
Mapitara;bawang_merah_shallots_kw_qui;1;-;151;-;-;5.2
Mapitara;cabai_besar_chili_big_chili_kw_qui;2;-;NA;NA;NA;5.2
Mapitara;cabai_keriting_chili_curly_chili_kw_qui;3;NA;-;-;32;5.2
Mapitara;cabai_rawit_chili_cayenne_pepper_kw_qui;4;400;1.179;15;-;5.2
Mapitara;kentang_potato_kw_qui;5;-;609;650;200;5.2
Mapitara;kubis_cabbage_kw_qui;6;-;-;-;-;5.2
Mapitara;tomat_tomato_kw_qui;7;24;182;65;44;5.2
Mapitara;bawang_putih_garlic_kw_qui;8;-;-;-;-;5.2
Mapitara;jahe_ginger_m2_m2;1;15.568;2.761;6.084;50.000;5.3
Mapitara;laos_lengkuas_galanga_m2_m2;2;4.953;1.608;2.464;11.500;5.3
Mapitara;kencur_east_indian_galangal_m2_m2;3;3.405;957;722;15.500;5.3
Mapitara;kunyit_turmeric_m2_m2;4;18.026;9.960;5.058;25.000;5.3
Mapitara;jahe_ginger_kg_kg;1;98.266;36.924;8.513;34.000;5.4
Mapitara;laos_lengkuas_galanga_kg_kg;2;9.013;3.229;2.834;15.000;5.4
Mapitara;kencur_east_indian_galangal_kg_kg;3;6.744;1.822;929;15.700;5.4
Mapitara;kunyit_turmeric_kg_kg;4;23.841;23.786;22.944;34.500;5.4
Mapitara;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;-;-;5.5
Mapitara;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
Mapitara;krisan_chrysantemum_m2_m2;3;-;-;-;-;5.5
Mapitara;mawar_rose_m2_m2;4;-;-;-;-;5.5
Mapitara;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Mapitara;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;-;-;5.5
Mapitara;bugenvil_m2_m2;7;NA;-;-;-;5.5
Mapitara;palem_palm_pohon_tree;8;-;-;-;-;5.5
Mapitara;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;-;5.5
Mapitara;pisang_pisangan_heliconia_m2_m2;10;-;-;-;-;5.5
Mapitara;puring_croton_m2_m2;11;NA;-;-;-;5.5
Mapitara;soka_ixora_m2_m2;12;-;-;-;-;5.5
Mapitara;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Mapitara;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Mapitara;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Mapitara;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Mapitara;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Mapitara;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;-;-;5.6
Mapitara;bugenvil_pohon_tree;7;NA;-;-;-;5.6
Mapitara;palem_palm_pohon_tree;8;-;-;-;-;5.6
Mapitara;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;-;-;5.6
Mapitara;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;-;-;5.6
Mapitara;puring_croton_pohon_tree;11;NA;-;-;-;5.6
Mapitara;soka_ixora_pohon_tree;12;-;-;-;-;5.6
Mapitara;sri_rejeki_aglaonema_pohon_tree;13;-;-;-;-;5.6
Mapitara;mangga_mango_kw_qui;1;-;229;820;760;5.7
Mapitara;durian_durian_kw_qui;2;321;269;694;552;5.7
Mapitara;jeruk_siam_keprok_orange_tangerine_kw_qui;3;-;-;-;-;5.7
Mapitara;pisang_banana_kw_qui;4;33.051;8.262;1.760;1.402;5.7
Mapitara;pepaya_papaya_kw_qui;5;7.084;6.063;307;263;5.7
Mapitara;salak_snakefruit_kw_qui;6;-;-;-;-;5.7
Mapitara;alpukat_avocado_kw_qui;7;895;1.988;2.160;1.849;5.7
Mapitara;jambu_biji_guava_kw_qui;8;-;-;-;-;5.7
Mapitara;nangka_cempedak_jackfruit_kw_qui;9;4.219;1.290;1.248;1.040;5.7
Mapitara;nenas_pineapple_kw_qui;10;1.416;2.986;1.899;442;5.7
Mapitara;rambutan_rambutan_kw_qui;11;625;514;832;798;5.7
Mapitara;salak_snakefruit_kw_qui;12;-;-;-;-;5.7
Mapitara;sirsak_soursop_kw_qui;13;-;-;-;-;5.7
Mego;bawang_merah_shallots_ha_ha;1;3;-;-;-;5.1
Mego;cabai_besar_chili_big_chili_ha_ha;2;10;NA;NA;NA;5.1
Mego;cabai_keriting_chili_curly_chili_ha_ha;3;NA;1;2;1;5.1
Mego;cabai_rawit_chili_cayenne_pepper_ha_ha;4;10;3;5;2;5.1
Mego;kentang_potato_ha_ha;5;-;-;-;-;5.1
Mego;kubis_cabbage_ha_ha;6;-;-;-;-;5.1
Mego;tomat_tomato_ha_ha;7;8;2;5;7;5.1
Mego;bawang_putih_garlic_ha_ha;8;-;-;-;-;5.1
Mego;bawang_merah_shallots_kw_qui;1;31;-;-;-;5.2
Mego;cabai_besar_chili_big_chili_kw_qui;2;517;NA;NA;NA;5.2
Mego;cabai_keriting_chili_curly_chili_kw_qui;3;NA;28;47;8;5.2
Mego;cabai_rawit_chili_cayenne_pepper_kw_qui;4;545;68;61;6;5.2
Mego;kentang_potato_kw_qui;5;-;-;-;-;5.2
Mego;kubis_cabbage_kw_qui;6;-;-;-;-;5.2
Mego;tomat_tomato_kw_qui;7;348;114;141;32;5.2
Mego;bawang_putih_garlic_kw_qui;8;-;-;-;-;5.2
Mego;jahe_ginger_m2_m2;1;2;3.318;7.500;2.891;5.3
Mego;laos_lengkuas_galanga_m2_m2;2;2;2.003;335;471;5.3
Mego;kencur_east_indian_galangal_m2_m2;3;2;583;422;363;5.3
Mego;kunyit_turmeric_m2_m2;4;2;5.258;5.328;3.910;5.3
Mego;jahe_ginger_kg_kg;1;8;9.960;2.710;1.092;5.4
Mego;laos_lengkuas_galanga_kg_kg;2;8;5.179;122;258;5.4
Mego;kencur_east_indian_galangal_kg_kg;3;5;1.644;144;304;5.4
Mego;kunyit_turmeric_kg_kg;4;10;16.499;2.292;1.982;5.4
Mego;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;-;-;5.5
Mego;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
Mego;krisan_chrysantemum_m2_m2;3;-;-;-;-;5.5
Mego;mawar_rose_m2_m2;4;-;-;-;-;5.5
Mego;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Mego;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;-;-;5.5
Mego;bugenvil_m2_m2;7;NA;-;-;-;5.5
Mego;palem_palm_pohon_tree;8;-;-;-;-;5.5
Mego;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;-;5.5
Mego;pisang_pisangan_heliconia_m2_m2;10;-;-;-;-;5.5
Mego;puring_croton_m2_m2;11;NA;-;-;-;5.5
Mego;soka_ixora_m2_m2;12;-;-;-;-;5.5
Mego;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Mego;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Mego;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Mego;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Mego;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Mego;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;-;-;5.6
Mego;bugenvil_pohon_tree;7;NA;-;-;-;5.6
Mego;palem_palm_pohon_tree;8;-;-;-;-;5.6
Mego;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;-;-;5.6
Mego;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;-;-;5.6
Mego;puring_croton_pohon_tree;11;NA;-;-;-;5.6
Mego;soka_ixora_pohon_tree;12;-;-;-;-;5.6
Mego;sri_rejeki_aglaonema_pohon_tree;13;-;-;-;-;5.6
Mego;mangga_mango_kw_qui;1;5.500;6.000;1.274;66;5.7
Mego;durian_durian_kw_qui;2;257;143;79;-;5.7
Mego;jeruk_siam_keprok_orange_tangerine_kw_qui;3;500;600;227;-;5.7
Mego;pisang_banana_kw_qui;4;15.500;6.400;725;121;5.7
Mego;pepaya_papaya_kw_qui;5;1.650;700;340;57;5.7
Mego;salak_snakefruit_kw_qui;6;141;277;99;-;5.7
Mego;alpukat_avocado_kw_qui;7;4.000;2.212;703;-;5.7
Mego;jambu_biji_guava_kw_qui;8;1.000;750;240;-;5.7
Mego;nangka_cempedak_jackfruit_kw_qui;9;1.000;650;146;-;5.7
Mego;nenas_pineapple_kw_qui;10;1.110;715;1.196;-;5.7
Mego;rambutan_rambutan_kw_qui;11;135;317;123;-;5.7
Mego;salak_snakefruit_kw_qui;12;141;277;99;-;5.7
Mego;sirsak_soursop_kw_qui;13;385;500;126;-;5.7
Nelle;bawang_merah_shallots_ha_ha;1;-;-;-;-;5.1
Nelle;cabai_besar_chili_big_chili_ha_ha;2;0;NA;NA;NA;5.1
Nelle;cabai_keriting_chili_curly_chili_ha_ha;3;NA;1;0;0;5.1
Nelle;cabai_rawit_chili_cayenne_pepper_ha_ha;4;1;1;0;1;5.1
Nelle;kentang_potato_ha_ha;5;-;-;-;-;5.1
Nelle;kubis_cabbage_ha_ha;6;-;-;-;-;5.1
Nelle;tomat_tomato_ha_ha;7;0;1;1;1;5.1
Nelle;bawang_putih_garlic_ha_ha;8;-;-;-;-;5.1
Nelle;bawang_merah_shallots_kw_qui;1;-;-;-;-;5.2
Nelle;cabai_besar_chili_big_chili_kw_qui;2;6;NA;NA;NA;5.2
Nelle;cabai_keriting_chili_curly_chili_kw_qui;3;NA;17;1;0;5.2
Nelle;cabai_rawit_chili_cayenne_pepper_kw_qui;4;38;25;2;1;5.2
Nelle;kentang_potato_kw_qui;5;-;-;-;-;5.2
Nelle;kubis_cabbage_kw_qui;6;-;-;-;-;5.2
Nelle;tomat_tomato_kw_qui;7;24;109;77;7;5.2
Nelle;bawang_putih_garlic_kw_qui;8;-;-;-;-;5.2
Nelle;jahe_ginger_m2_m2;1;20;-;-;-;5.3
Nelle;laos_lengkuas_galanga_m2_m2;2;25;-;-;-;5.3
Nelle;kencur_east_indian_galangal_m2_m2;3;8;-;-;-;5.3
Nelle;kunyit_turmeric_m2_m2;4;34;-;-;-;5.3
Nelle;jahe_ginger_kg_kg;1;40;-;-;-;5.4
Nelle;laos_lengkuas_galanga_kg_kg;2;80;-;-;-;5.4
Nelle;kencur_east_indian_galangal_kg_kg;3;20;-;-;-;5.4
Nelle;kunyit_turmeric_kg_kg;4;150;-;-;-;5.4
Nelle;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;-;-;5.5
Nelle;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
Nelle;krisan_chrysantemum_m2_m2;3;-;-;-;-;5.5
Nelle;mawar_rose_m2_m2;4;-;-;-;-;5.5
Nelle;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Nelle;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;-;-;5.5
Nelle;bugenvil_m2_m2;7;NA;-;-;-;5.5
Nelle;palem_palm_pohon_tree;8;-;-;-;-;5.5
Nelle;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;-;5.5
Nelle;pisang_pisangan_heliconia_m2_m2;10;-;-;-;-;5.5
Nelle;puring_croton_m2_m2;11;NA;-;-;-;5.5
Nelle;soka_ixora_m2_m2;12;-;-;-;-;5.5
Nelle;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Nelle;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Nelle;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Nelle;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Nelle;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Nelle;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;-;-;5.6
Nelle;bugenvil_pohon_tree;7;NA;-;-;-;5.6
Nelle;palem_palm_pohon_tree;8;-;-;-;-;5.6
Nelle;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;-;-;5.6
Nelle;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;-;-;5.6
Nelle;puring_croton_pohon_tree;11;NA;-;-;-;5.6
Nelle;soka_ixora_pohon_tree;12;-;-;-;-;5.6
Nelle;sri_rejeki_aglaonema_pohon_tree;13;-;-;-;-;5.6
Nelle;mangga_mango_kw_qui;1;804;196;112;292;5.7
Nelle;durian_durian_kw_qui;2;-;-;-;-;5.7
Nelle;jeruk_siam_keprok_orange_tangerine_kw_qui;3;23;110;3;6;5.7
Nelle;pisang_banana_kw_qui;4;346;759;323;584;5.7
Nelle;pepaya_papaya_kw_qui;5;128;310;161;642;5.7
Nelle;salak_snakefruit_kw_qui;6;-;-;-;-;5.7
Nelle;alpukat_avocado_kw_qui;7;72;213;70;53;5.7
Nelle;jambu_biji_guava_kw_qui;8;12;135;31;44;5.7
Nelle;nangka_cempedak_jackfruit_kw_qui;9;260;369;67;431;5.7
Nelle;nenas_pineapple_kw_qui;10;34;87;16;76;5.7
Nelle;rambutan_rambutan_kw_qui;11;9;106;23;19;5.7
Nelle;salak_snakefruit_kw_qui;12;-;-;-;-;5.7
Nelle;sirsak_soursop_kw_qui;13;79;225;25;95;5.7
Nita;bawang_merah_shallots_ha_ha;1;-;-;-;-;5.1
Nita;cabai_besar_chili_big_chili_ha_ha;2;7;NA;NA;NA;5.1
Nita;cabai_keriting_chili_curly_chili_ha_ha;3;NA;7;21;18;5.1
Nita;cabai_rawit_chili_cayenne_pepper_ha_ha;4;6;7;18;12;5.1
Nita;kentang_potato_ha_ha;5;-;-;-;1;5.1
Nita;kubis_cabbage_ha_ha;6;0;1;-;-;5.1
Nita;tomat_tomato_ha_ha;7;14;13;25;27;5.1
Nita;bawang_putih_garlic_ha_ha;8;-;-;-;-;5.1
Nita;bawang_merah_shallots_kw_qui;1;-;-;-;-;5.2
Nita;cabai_besar_chili_big_chili_kw_qui;2;705;NA;NA;NA;5.2
Nita;cabai_keriting_chili_curly_chili_kw_qui;3;NA;167;1.560;932;5.2
Nita;cabai_rawit_chili_cayenne_pepper_kw_qui;4;884;270;1.250;1.287;5.2
Nita;kentang_potato_kw_qui;5;-;-;-;100;5.2
Nita;kubis_cabbage_kw_qui;6;7;200;-;-;5.2
Nita;tomat_tomato_kw_qui;7;4.310;4.330;7.200;6.797;5.2
Nita;bawang_putih_garlic_kw_qui;8;-;-;-;-;5.2
Nita;jahe_ginger_m2_m2;1;7.000;23.600;52.000;43.000;5.3
Nita;laos_lengkuas_galanga_m2_m2;2;7.300;21.500;27.000;20.000;5.3
Nita;kencur_east_indian_galangal_m2_m2;3;3.900;6.300;6.000;4.000;5.3
Nita;kunyit_turmeric_m2_m2;4;4.700;11.600;27.000;20.000;5.3
Nita;jahe_ginger_kg_kg;1;14.503;57.938;176.000;104.500;5.4
Nita;laos_lengkuas_galanga_kg_kg;2;35.605;81.900;218.500;79.400;5.4
Nita;kencur_east_indian_galangal_kg_kg;3;5.767;9.850;12.000;7.400;5.4
Nita;kunyit_turmeric_kg_kg;4;23.625;46.300;162.000;73.910;5.4
Nita;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;-;-;5.5
Nita;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
Nita;krisan_chrysantemum_m2_m2;3;-;-;-;-;5.5
Nita;mawar_rose_m2_m2;4;-;-;-;-;5.5
Nita;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Nita;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;-;-;5.5
Nita;bugenvil_m2_m2;7;NA;-;-;-;5.5
Nita;palem_palm_pohon_tree;8;-;-;-;-;5.5
Nita;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;-;5.5
Nita;pisang_pisangan_heliconia_m2_m2;10;-;-;-;-;5.5
Nita;puring_croton_m2_m2;11;NA;-;-;-;5.5
Nita;soka_ixora_m2_m2;12;-;-;-;-;5.5
Nita;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Nita;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Nita;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Nita;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Nita;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Nita;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;-;-;5.6
Nita;bugenvil_pohon_tree;7;NA;-;-;-;5.6
Nita;palem_palm_pohon_tree;8;-;-;-;-;5.6
Nita;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;-;-;5.6
Nita;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;-;-;5.6
Nita;puring_croton_pohon_tree;11;NA;-;-;-;5.6
Nita;soka_ixora_pohon_tree;12;-;-;-;-;5.6
Nita;sri_rejeki_aglaonema_pohon_tree;13;-;-;-;-;5.6
Nita;mangga_mango_kw_qui;1;16.150;5.590;2.909;1.434;5.7
Nita;durian_durian_kw_qui;2;230;575;390;90;5.7
Nita;jeruk_siam_keprok_orange_tangerine_kw_qui;3;370;1.600;1.090;177;5.7
Nita;pisang_banana_kw_qui;4;30.560;29.500;54.800;10.872;5.7
Nita;pepaya_papaya_kw_qui;5;20.550;19.220;12.780;4.300;5.7
Nita;salak_snakefruit_kw_qui;6;800;1.810;2.840;420;5.7
Nita;alpukat_avocado_kw_qui;7;1.864;3.777;7.808;3.756;5.7
Nita;jambu_biji_guava_kw_qui;8;1.033;660;359;525;5.7
Nita;nangka_cempedak_jackfruit_kw_qui;9;2.045;600;3.312;920;5.7
Nita;nenas_pineapple_kw_qui;10;569;1.126;2.276;1.876;5.7
Nita;rambutan_rambutan_kw_qui;11;940;1.400;402;200;5.7
Nita;salak_snakefruit_kw_qui;12;800;1.810;2.840;420;5.7
Nita;sirsak_soursop_kw_qui;13;670;1.700;818;220;5.7
Paga;bawang_merah_shallots_ha_ha;1;-;-;-;-;5.1
Paga;cabai_besar_chili_big_chili_ha_ha;2;2;NA;NA;NA;5.1
Paga;cabai_keriting_chili_curly_chili_ha_ha;3;NA;2;4;3;5.1
Paga;cabai_rawit_chili_cayenne_pepper_ha_ha;4;7;3;3;2;5.1
Paga;kentang_potato_ha_ha;5;-;-;-;-;5.1
Paga;kubis_cabbage_ha_ha;6;-;-;-;-;5.1
Paga;tomat_tomato_ha_ha;7;3;2;2;3;5.1
Paga;bawang_putih_garlic_ha_ha;8;-;-;-;-;5.1
Paga;bawang_merah_shallots_kw_qui;1;-;-;-;-;5.2
Paga;cabai_besar_chili_big_chili_kw_qui;2;100;NA;NA;NA;5.2
Paga;cabai_keriting_chili_curly_chili_kw_qui;3;NA;246;430;626;5.2
Paga;cabai_rawit_chili_cayenne_pepper_kw_qui;4;992;385;516;519;5.2
Paga;kentang_potato_kw_qui;5;-;-;-;-;5.2
Paga;kubis_cabbage_kw_qui;6;-;-;-;-;5.2
Paga;tomat_tomato_kw_qui;7;921;700;231;670;5.2
Paga;bawang_putih_garlic_kw_qui;8;-;-;-;-;5.2
Paga;jahe_ginger_m2_m2;1;-;-;-;1;5.3
Paga;laos_lengkuas_galanga_m2_m2;2;-;-;-;-;5.3
Paga;kencur_east_indian_galangal_m2_m2;3;-;-;-;-;5.3
Paga;kunyit_turmeric_m2_m2;4;-;-;-;-;5.3
Paga;jahe_ginger_kg_kg;1;-;-;-;2;5.4
Paga;laos_lengkuas_galanga_kg_kg;2;-;-;-;-;5.4
Paga;kencur_east_indian_galangal_kg_kg;3;-;-;-;-;5.4
Paga;kunyit_turmeric_kg_kg;4;-;-;-;-;5.4
Paga;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;-;-;5.5
Paga;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
Paga;krisan_chrysantemum_m2_m2;3;-;-;-;-;5.5
Paga;mawar_rose_m2_m2;4;-;-;-;-;5.5
Paga;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Paga;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;-;-;5.5
Paga;bugenvil_m2_m2;7;NA;-;-;-;5.5
Paga;palem_palm_pohon_tree;8;-;-;-;-;5.5
Paga;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;-;5.5
Paga;pisang_pisangan_heliconia_m2_m2;10;-;-;-;-;5.5
Paga;puring_croton_m2_m2;11;NA;-;-;-;5.5
Paga;soka_ixora_m2_m2;12;-;-;-;-;5.5
Paga;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Paga;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Paga;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Paga;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Paga;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Paga;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;-;-;5.6
Paga;bugenvil_pohon_tree;7;NA;-;-;-;5.6
Paga;palem_palm_pohon_tree;8;-;-;-;-;5.6
Paga;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;-;-;5.6
Paga;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;-;-;5.6
Paga;puring_croton_pohon_tree;11;NA;-;-;-;5.6
Paga;soka_ixora_pohon_tree;12;-;-;-;-;5.6
Paga;sri_rejeki_aglaonema_pohon_tree;13;-;-;-;-;5.6
Paga;mangga_mango_kw_qui;1;5.900;180;360;504;5.7
Paga;durian_durian_kw_qui;2;-;-;-;-;5.7
Paga;jeruk_siam_keprok_orange_tangerine_kw_qui;3;335.500;118.350;604;435;5.7
Paga;pisang_banana_kw_qui;4;475.000;34.160;5.075;2.764;5.7
Paga;pepaya_papaya_kw_qui;5;7.089;2.568;687;481;5.7
Paga;salak_snakefruit_kw_qui;6;6.300;8;-;-;5.7
Paga;alpukat_avocado_kw_qui;7;870;100;350;89;5.7
Paga;jambu_biji_guava_kw_qui;8;505;90;110;40;5.7
Paga;nangka_cempedak_jackfruit_kw_qui;9;33.500;788;290;481;5.7
Paga;nenas_pineapple_kw_qui;10;4.103;1.180;1.100;387;5.7
Paga;rambutan_rambutan_kw_qui;11;-;-;-;-;5.7
Paga;salak_snakefruit_kw_qui;12;6.300;8;-;-;5.7
Paga;sirsak_soursop_kw_qui;13;729;15;-;-;5.7
Palue;bawang_merah_shallots_ha_ha;1;-;-;-;-;5.1
Palue;cabai_besar_chili_big_chili_ha_ha;2;-;NA;NA;NA;5.1
Palue;cabai_keriting_chili_curly_chili_ha_ha;3;NA;-;1;-;5.1
Palue;cabai_rawit_chili_cayenne_pepper_ha_ha;4;-;0;0;0;5.1
Palue;kentang_potato_ha_ha;5;-;-;-;-;5.1
Palue;kubis_cabbage_ha_ha;6;-;-;-;-;5.1
Palue;tomat_tomato_ha_ha;7;-;-;-;0;5.1
Palue;bawang_putih_garlic_ha_ha;8;-;-;-;-;5.1
Palue;bawang_merah_shallots_kw_qui;1;-;-;-;-;5.2
Palue;cabai_besar_chili_big_chili_kw_qui;2;-;NA;NA;NA;5.2
Palue;cabai_keriting_chili_curly_chili_kw_qui;3;NA;-;5;-;5.2
Palue;cabai_rawit_chili_cayenne_pepper_kw_qui;4;-;2;3;2;5.2
Palue;kentang_potato_kw_qui;5;-;-;-;-;5.2
Palue;kubis_cabbage_kw_qui;6;-;-;-;-;5.2
Palue;tomat_tomato_kw_qui;7;-;-;-;1;5.2
Palue;bawang_putih_garlic_kw_qui;8;-;-;-;-;5.2
Palue;jahe_ginger_m2_m2;1;158;14;1;1;5.3
Palue;laos_lengkuas_galanga_m2_m2;2;105;-;1;1;5.3
Palue;kencur_east_indian_galangal_m2_m2;3;60;1;1;1;5.3
Palue;kunyit_turmeric_m2_m2;4;115;20;1;1;5.3
Palue;jahe_ginger_kg_kg;1;420;35;1;2;5.4
Palue;laos_lengkuas_galanga_kg_kg;2;520;-;1;3;5.4
Palue;kencur_east_indian_galangal_kg_kg;3;150;1;1;4;5.4
Palue;kunyit_turmeric_kg_kg;4;210;78;1;3;5.4
Palue;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;-;-;5.5
Palue;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
Palue;krisan_chrysantemum_m2_m2;3;-;-;-;-;5.5
Palue;mawar_rose_m2_m2;4;-;-;-;-;5.5
Palue;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Palue;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;-;-;5.5
Palue;bugenvil_m2_m2;7;NA;-;-;-;5.5
Palue;palem_palm_pohon_tree;8;-;-;-;-;5.5
Palue;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;-;5.5
Palue;pisang_pisangan_heliconia_m2_m2;10;-;-;-;-;5.5
Palue;puring_croton_m2_m2;11;NA;-;-;-;5.5
Palue;soka_ixora_m2_m2;12;-;-;-;-;5.5
Palue;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Palue;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Palue;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Palue;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Palue;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
